암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y),진료과목코드
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,1,상급종합,310000,경기,310403,성남분당구,구미동,13620,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,http://www.snubh.org/index.do,20030415,618,9,0,20,560,2,3,13,11,0,0,0,0,0,127.1232509,37.3519807,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,국군수도병원,11,종합병원,310000,경기,310403,성남분당구,율동,13574,"경기도 성남시 분당구 새마을로177번길 81, (율동)",031-725-6075,,20000226,110,0,4,3,103,0,0,0,0,0,0,0,0,0,127.1490674,37.3923789,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz,대진의료재단 분당제생병원,11,종합병원,310000,경기,310403,성남분당구,서현동,13590,"경기도 성남시 분당구 서현로180번길 20, (서현동)",031-779-0114,http://www.dmc.or.kr,19980328,158,11,2,8,131,2,0,0,4,0,0,0,0,0,127.1217783,37.3882035,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjNjEjJDEjJDAjJDgz,성남시의료원,11,종합병원,310000,경기,310401,성남수정구,태평동,13290,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",031-738-7000,,20191107,51,0,0,0,49,1,0,0,1,0,0,0,0,0,127.1390577,37.4449846,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성남중앙병원,11,종합병원,310000,경기,310402,성남중원구,금광동,13161,"경기도 성남시 중원구 산성대로476번길 12, (금광동)",031-743-3000,http://www.schosp.co.kr,19811119,30,1,0,0,27,1,0,0,1,0,0,0,0,0,127.1619932,37.4528497,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,순천의료재단 성남정병원,11,종합병원,310000,경기,310401,성남수정구,수진동,13316,"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",031-750-6000,http://www.chungos.co.kr,20040303,24,0,0,0,24,0,0,0,0,0,0,0,0,0,127.1290046,37.4398589,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,차의과학대학교분당차병원,11,종합병원,310000,경기,310403,성남분당구,야탑동,13496,"경기도 성남시 분당구 야탑로 59, (야탑동)",031-780-5000,bundang.chamc.co.kr,19950324,319,5,0,11,296,1,0,0,4,0,0,0,2,0,127.1254535,37.4102384,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,더미즈병원,21,병원,310000,경기,310401,성남수정구,태평동,13310,"경기도 성남시 수정구 수정로 91, (태평동)",031-752-1119,,20050217,8,0,0,0,8,0,0,0,0,0,0,0,0,0,127.1304647,37.4407883,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,미라클 병원,21,병원,310000,경기,310403,성남분당구,야탑동,13505,"경기도 성남시 분당구 매화로 39, 광명조합상가 2~5층 (야탑동)",031-706-5000,,20230925,3,1,0,0,2,0,0,0,0,0,0,0,0,0,127.1335429,37.4110844,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,바른마디병원,21,병원,310000,경기,310402,성남중원구,금광동,13182,"경기도 성남시 중원구 광명로 330, (금광동)",031-735-9110,,20131202,13,0,0,0,13,0,0,0,0,0,0,0,0,0,127.1625749,37.4452633,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,바른세상병원,21,병원,310000,경기,310403,성남분당구,야탑동,13497,"경기도 성남시 분당구 야탑로75번길 5, 중앙빌딩 지1~5층 (야탑동)",031-703-5575,http://www.barunsesang.co.kr,20060201,29,3,0,0,26,0,0,0,0,0,0,0,0,0,127.1268211,37.4103088,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,분당러스크재활병원,21,병원,310000,경기,310403,성남분당구,정자동,13558,"경기도 성남시 분당구 정자일로156번길 6, 3~8층 (정자동, 뉴본타워)",031-716-0007,http://rusk.co.kr,20061115,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.106323,37.363982,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ5MiQzNjEwMDIjNjEjJDEjJDAjJDgz,분당베스트병원,21,병원,310000,경기,310403,성남분당구,야탑동,13506,"경기도 성남시 분당구 성남대로926번길 6, 701,801호 (야탑동, 야탑대덕프라자)",1899-0175,http://www.okbest.kr/,20120713,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1298637,37.4121577,
