암호화요양기호,요양기관명,위치_공공건물(장소)명,위치_방향,위치_거리,주차_가능대수,주차_비용 부담여부,주차_기타 안내사항,휴진안내_일요일,휴진안내_공휴일,응급실_주간_운영여부,응급실_주간_전화번호1,응급실_주간_전화번호2,응급실_야간_운영여부,응급실_야간_전화번호1,응급실_야간_전화번호2,점심시간_평일,점심시간_토요일,접수시간_평일,접수시간_토요일,진료시작시간_일요일,진료종료시간_일요일,진료시작시간_월요일,진료종료시간_월요일,진료시작시간_화요일,진료종료시간_화요일,진료시작시간_수요일,진료종료시간_수요일,진료시작시간_목요일,진료종료시간_목요일,진료시작시간_금요일,진료종료시간_금요일,진료시작시간_토요일,진료종료시간_토요일
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,(학교법인)동국대학교 한의과대학 분당한방병원,,,,50.0,N,"본원과 SK 주유소 사이길로 지상1층, 지하1층 2층",전부휴진,전부휴진,N,,,Y,031-710-0-3714,,12시30분~13시30분,12시30분~13시30분,09시00분~17시00분,09시00분~11시30분,,,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1300.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNTEjJDEjJDYjJDgz,성남제일한방병원,,,,30.0,N,기계식 주차장/입퇴원 당일에만 최대 4시간. 그외 주차 유료,오후 3시이후,오후 3시이후,N,,,N,,,,,09시30분~20시00분,09시30분~14시00분,930.0,1500.0,930.0,2100.0,930.0,2100.0,930.0,2100.0,930.0,2100.0,930.0,2100.0,930.0,1500.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQyIyQ5IyQwMCQyNjEyMjIjODEjJDEjJDIjJDgz,365매일한방병원,야탑역2번출구,,50m,150.0,N,진료시간내 적용,,,N,,,N,,,,,,,900.0,1600.0,900.0,2030.0,900.0,2030.0,900.0,2030.0,900.0,2030.0,900.0,2030.0,900.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzExIyQxIyQzIyQxMyQzNjEyMjIjNjEjJDEjJDAjJDgz,경희한의원,,,,3.0,N,주변에 있는 성남 주차장 이용후 도장 받아가면 됨,휴진,휴진(임시공휴일 제외),N,,,N,,,,,08:30,08:30,,,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNjEjJDEjJDgjJDgz,모란성심한의원,국민은행건물,,,48.0,Y,진료하신분 무료주차,전부 휴진,전부 휴진,N,,,N,,,13시~14시,13시~14시,"월,목: 09시00분~19시30분 화,수,금: 09시00분~17시30분",09시00분~16시20분,,,900.0,2000.0,900.0,1800.0,900.0,1800.0,900.0,2000.0,900.0,1800.0,900.0,1700.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDQjJDgz,길한의원,"상대원시장앞,새마을금고앞",,,,,한의원옆 30m근방 유료주차장있음,전부 휴진,전부 휴진,N,,,N,,,1시00분~2시00,,09시30분~18시30분,09시00분~14시00분(점심시간없음),,,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,900.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,빛과소리하성한의원,,,,0.0,Y,기본 1시간(만차 시 지원 불가),,,N,,,N,,,13시~14시,13시~14시,,,,,900.0,1800.0,900.0,1800.0,900.0,1800.0,,,900.0,1800.0,830.0,1730.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,송금당한의원,,,,,,,,,N,,,N,,,,,,,,,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,900.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,경희한중한의원,성남E마트,E마트 사거리에서 대각선 방향,50m,,,,휴진,휴진,N,,,N,,,13시00분~14시00분,,,,,,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz,윤한의원,상대원농협 맞은 편,상대원고개 방향,30m,,,,전부 휴진,오후 2시 이후 휴진,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시20분~19시00분,09시20분~15시30분,,,930.0,1930.0,930.0,1930.0,1400.0,2100.0,930.0,1930.0,930.0,1930.0,930.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQyIyQ3IyQwMCQzNjEwMDIjNzEjJDEjJDgjJDgz,오한의원,,,,30.0,N,,전부휴진,휴진,N,,,N,,,13시00분~14시00분,,10시00분~17시30분,10시00분~13시00분,,,1000.0,1830.0,1000.0,1830.0,1400.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,청강한의원,,,,,,,휴진,휴진,N,,,N,,,13~14시,13~14,,,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQxMyQ0NjEwMDIjNDEjJDEjJDQjJDgz,자인한의원,판교역,1번출구,100M,5.0,N,주차장이 복잡해 무료로 발렛서비스를 해드립니다.(1층 현대자동차앞 대로변에서 정차하시면 주차해드립니다),전부 휴진,전부 휴진,N,,,N,,,13시30분~14시 30분,,,,,,930.0,2000.0,930.0,2000.0,930.0,1900.0,930.0,2000.0,930.0,1900.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNjEjJDEjJDgjJDgz,경희행복한한의원,"판교원 11단지 정문 길건너편, 판교박물관 길건너편 코너건물",,,10.0,N,평일 주차 어려움. 주변주차 단석 가끔함. 미리 연락주시면 주차가능장소를 알려드립니다.,휴진,휴진,N,,,N,,,13시 ~ 14시,,9시30분 ~ 18시30분,9시30분 ~ 14시00분,,,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1400.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,밝은덕한의원,올림픽스포츠센터 2층,,,100.0,N,지하주차장,휴진,휴진,N,,,N,,,오후 12시 30분~오후 14시00분,,,,,,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,1400.0,1800.0,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQyIyQ3IyQwMCQyNjE4MzIjODEjJDEjJDYjJDgz,분당수내한의원,수내역 2번 출구,정자역 방향,150미터,45.0,N,2시간까지 무료.,"1,3,5 째 일요일 휴진",4시이후 휴진,N,,,N,,,13시00분 ~ 14시00분,13시00분 ~ 14시00분,09시00분 ~ 18시30분,09시00분 ~ 13시30분,1000.0,1400.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1600.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjODEjJDEjJDIjJDgz,일맥한의원,,,,10.0,N,서현빌딩 본관(하나은행건물)에 주차후 별관5층으로 오시면 됩니다.,전부 휴진,전부 휴진,N,,,N,,,13시30분~14시30분,,10시30분~19시30분,10시30분~14시30분,,,1030.0,2000.0,1030.0,2000.0,1030.0,1800.0,1030.0,2000.0,1030.0,2000.0,1030.0,1500.0
