암호화요양기호,요양기관명,장비코드,장비코드명,장비대수
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzQxIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,서울에펠치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,바른세상병원,B301,MRI,4
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzMxIyQxIyQzIyQ3MiQzNjEyMjIjNjEjJDEjJDQjJDgz,이창호치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,이노치과의원,B109,콘빔CT,1
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz,좋은산부인과의원,B302,초음파영상진단기,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNzEjJDEjJDgjJDgz,이사랑치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,서울더믿음치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEyMjIjODEjJDEjJDYjJDgz,메디파크내과의원,B105,유방촬영장치,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,산성예스치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzExIyQxIyQ3IyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,서울좋은치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzIxIyQxIyQxIyQxMyQyNjEwMDIjODEjJDEjJDIjJDgz,우리들치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,바른모양치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,더미즈병원,B203,골밀도검사기,1
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDIjJDgz,미아뜨의원,B203,골밀도검사기,1
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,바른마디병원,B203,골밀도검사기,1
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,지우병원,B203,골밀도검사기,1
